case_id,activity,event_timestamp,actor,case_attributes
FT-COM-2025-00001,Verify Legal Entity,2025-05-02 01:21:46,KYC Analyst (Commercial),entity_type=LP;outcome=approved
FT-COM-2025-00002,Verify Legal Entity,2025-05-01 17:51:12,KYC Analyst (Commercial),entity_type=Corp;risk_flag=pep_hit;outcome=approved
FT-COM-2025-00003,Verify Legal Entity,2025-05-04 18:39:04,KYC Analyst (Commercial),entity_type=LLC;outcome=approved
FT-COM-2025-00004,Verify Legal Entity,2025-05-04 16:33:57,KYC Analyst (Commercial),entity_type=Partnership;outcome=approved
FT-COM-2025-00005,Verify Legal Entity,2025-05-05 03:16:55,KYC Analyst (Commercial),entity_type=LP;outcome=approved
FT-COM-2025-00006,Verify Legal Entity,2025-05-06 09:56:02,KYC Analyst (Commercial),entity_type=Corp;outcome=approved
FT-COM-2025-00007,Verify Legal Entity,2025-05-03 22:43:45,KYC Analyst (Commercial),entity_type=Corp;outcome=approved
FT-COM-2025-00008,Verify Legal Entity,2025-05-05 01:55:15,KYC Analyst (Commercial),entity_type=LLC;risk_flag=pep_hit;outcome=approved
FT-COM-2025-00009,Verify Legal Entity,2025-05-07 14:08:11,KYC Analyst (Commercial),entity_type=LLC;outcome=abandoned
FT-COM-2025-00010,Verify Legal Entity,2025-05-07 10:55:34,KYC Analyst (Commercial),entity_type=LLC;outcome=approved
FT-COM-2025-00011,Verify Legal Entity,2025-05-07 08:01:30,KYC Analyst (Commercial),entity_type=Corp;outcome=approved
FT-COM-2025-00012,Verify Legal Entity,2025-05-08 08:03:57,KYC Analyst (Commercial),entity_type=LLC;outcome=approved
FT-COM-2025-00013,Verify Legal Entity,2025-05-09 19:56:12,KYC Analyst (Commercial),entity_type=Partnership;outcome=approved
FT-COM-2025-00014,Verify Legal Entity,2025-05-09 05:35:24,KYC Analyst (Commercial),entity_type=LP;outcome=approved
FT-COM-2025-00015,Verify Legal Entity,2025-05-10 00:53:33,KYC Analyst (Commercial),entity_type=Partnership;outcome=approved
FT-COM-2025-00016,Verify Legal Entity,2025-05-12 05:59:09,KYC Analyst (Commercial),entity_type=LLC;outcome=approved
FT-COM-2025-00017,Verify Legal Entity,2025-05-10 16:01:08,KYC Analyst (Commercial),entity_type=Corp;outcome=approved
FT-COM-2025-00018,Verify Legal Entity,2025-05-13 10:32:30,KYC Analyst (Commercial),entity_type=Corp;outcome=approved
FT-COM-2025-00019,Verify Legal Entity,2025-05-14 08:43:09,KYC Analyst (Commercial),entity_type=LP;outcome=approved
FT-COM-2025-00020,Verify Legal Entity,2025-05-13 00:00:02,KYC Analyst (Commercial),entity_type=Partnership;outcome=approved
FT-COM-2025-00021,Verify Legal Entity,2025-05-13 23:30:24,KYC Analyst (Commercial),entity_type=Partnership;outcome=approved
FT-COM-2025-00022,Verify Legal Entity,2025-05-14 17:42:37,KYC Analyst (Commercial),entity_type=Partnership;outcome=approved
FT-COM-2025-00023,Verify Legal Entity,2025-05-15 21:36:42,KYC Analyst (Commercial),entity_type=LLC;outcome=approved
FT-COM-2025-00024,Verify Legal Entity,2025-05-15 23:41:47,KYC Analyst (Commercial),entity_type=Corp;outcome=abandoned
FT-COM-2025-00025,Verify Legal Entity,2025-05-16 20:02:44,KYC Analyst (Commercial),entity_type=LP;outcome=approved
FT-COM-2025-00026,Verify Legal Entity,2025-05-16 16:33:16,KYC Analyst (Commercial),entity_type=LLC;outcome=approved
FT-COM-2025-00027,Verify Legal Entity,2025-05-16 17:07:02,KYC Analyst (Commercial),entity_type=LLC;outcome=approved
FT-COM-2025-00028,Verify Legal Entity,2025-05-18 00:20:22,KYC Analyst (Commercial),entity_type=Partnership;outcome=approved
FT-COM-2025-00029,Verify Legal Entity,2025-05-19 12:06:11,KYC Analyst (Commercial),entity_type=LP;outcome=approved
FT-COM-2025-00030,Verify Legal Entity,2025-05-19 08:57:18,KYC Analyst (Commercial),entity_type=Corp;outcome=approved
FT-COM-2025-00031,Verify Legal Entity,2025-05-19 05:52:25,KYC Analyst (Commercial),entity_type=LP;outcome=approved
FT-COM-2025-00032,Verify Legal Entity,2025-05-22 01:33:04,KYC Analyst (Commercial),entity_type=Corp;outcome=approved
FT-COM-2025-00033,Verify Legal Entity,2025-05-21 22:51:29,KYC Analyst (Commercial),entity_type=Corp;outcome=approved
FT-COM-2025-00034,Verify Legal Entity,2025-05-22 06:48:04,KYC Analyst (Commercial),entity_type=LLC;outcome=approved
FT-COM-2025-00035,Verify Legal Entity,2025-05-21 06:12:14,KYC Analyst (Commercial),entity_type=LLC;outcome=approved
FT-COM-2025-00036,Verify Legal Entity,2025-05-23 05:59:01,KYC Analyst (Commercial),entity_type=Corp;outcome=abandoned
FT-COM-2025-00037,Verify Legal Entity,2025-05-24 01:25:39,KYC Analyst (Commercial),entity_type=Corp;outcome=approved
FT-COM-2025-00038,Verify Legal Entity,2025-05-22 13:15:40,KYC Analyst (Commercial),entity_type=LP;outcome=approved
FT-COM-2025-00039,Verify Legal Entity,2025-05-23 14:46:31,KYC Analyst (Commercial),entity_type=LLC;outcome=approved
FT-COM-2025-00040,Verify Legal Entity,2025-05-26 06:51:47,KYC Analyst (Commercial),entity_type=Corp;outcome=approved
FT-COM-2025-00041,Verify Legal Entity,2025-05-27 19:04:21,KYC Analyst (Commercial),entity_type=LLC;risk_flag=pep_hit;outcome=approved
FT-COM-2025-00042,Verify Legal Entity,2025-05-27 04:34:34,KYC Analyst (Commercial),entity_type=Corp;outcome=abandoned
FT-COM-2025-00043,Verify Legal Entity,2025-05-26 22:33:06,KYC Analyst (Commercial),entity_type=Corp;risk_flag=pep_hit;outcome=approved
FT-COM-2025-00044,Verify Legal Entity,2025-05-28 03:55:23,KYC Analyst (Commercial),entity_type=Corp;outcome=approved
FT-COM-2025-00045,Verify Legal Entity,2025-05-27 22:55:08,KYC Analyst (Commercial),entity_type=LP;outcome=approved
FT-COM-2025-00046,Verify Legal Entity,2025-05-27 18:42:33,KYC Analyst (Commercial),entity_type=LP;outcome=approved
FT-COM-2025-00047,Verify Legal Entity,2025-05-29 22:20:46,KYC Analyst (Commercial),entity_type=LLC;risk_flag=pep_hit;outcome=approved
FT-COM-2025-00048,Verify Legal Entity,2025-05-30 21:24:14,KYC Analyst (Commercial),entity_type=Corp;outcome=approved
FT-COM-2025-00049,Verify Legal Entity,2025-05-30 11:40:28,KYC Analyst (Commercial),entity_type=Corp;outcome=approved
FT-COM-2025-00050,Verify Legal Entity,2025-05-30 22:37:18,KYC Analyst (Commercial),entity_type=Partnership;outcome=approved
FT-COM-2025-00051,Verify Legal Entity,2025-05-31 17:31:03,KYC Analyst (Commercial),entity_type=LLC;risk_flag=pep_hit;outcome=approved
FT-COM-2025-00052,Verify Legal Entity,2025-06-01 14:04:26,KYC Analyst (Commercial),entity_type=Corp;outcome=approved
FT-COM-2025-00053,Verify Legal Entity,2025-06-02 23:28:58,KYC Analyst (Commercial),entity_type=LLC;outcome=approved
FT-COM-2025-00054,Verify Legal Entity,2025-06-03 10:06:32,KYC Analyst (Commercial),entity_type=Corp;outcome=approved
FT-COM-2025-00055,Verify Legal Entity,2025-06-03 12:19:20,KYC Analyst (Commercial),entity_type=Partnership;outcome=approved
FT-COM-2025-00056,Verify Legal Entity,2025-06-02 15:17:03,KYC Analyst (Commercial),entity_type=Partnership;outcome=approved
FT-COM-2025-00057,Verify Legal Entity,2025-06-05 13:45:55,KYC Analyst (Commercial),entity_type=Corp;outcome=approved
FT-COM-2025-00058,Verify Legal Entity,2025-06-07 04:52:44,KYC Analyst (Commercial),entity_type=Partnership;outcome=approved
FT-COM-2025-00059,Verify Legal Entity,2025-06-05 13:49:31,KYC Analyst (Commercial),entity_type=Partnership;outcome=approved
FT-COM-2025-00060,Verify Legal Entity,2025-06-05 08:32:58,KYC Analyst (Commercial),entity_type=LP;outcome=approved
FT-COM-2025-00061,Verify Legal Entity,2025-06-07 05:16:15,KYC Analyst (Commercial),entity_type=Corp;outcome=approved
FT-COM-2025-00062,Verify Legal Entity,2025-06-07 10:00:35,KYC Analyst (Commercial),entity_type=LP;outcome=approved
FT-COM-2025-00063,Verify Legal Entity,2025-06-07 00:21:21,KYC Analyst (Commercial),entity_type=Partnership;outcome=approved
FT-COM-2025-00064,Verify Legal Entity,2025-06-10 10:13:58,KYC Analyst (Commercial),entity_type=Corp;outcome=approved
FT-COM-2025-00065,Verify Legal Entity,2025-06-10 19:53:03,KYC Analyst (Commercial),entity_type=Corp;outcome=approved
FT-COM-2025-00066,Verify Legal Entity,2025-06-11 08:36:44,KYC Analyst (Commercial),entity_type=Corp;risk_flag=pep_hit;outcome=approved
FT-COM-2025-00067,Verify Legal Entity,2025-06-10 18:47:53,KYC Analyst (Commercial),entity_type=LP;outcome=approved
FT-COM-2025-00068,Verify Legal Entity,2025-06-11 18:29:55,KYC Analyst (Commercial),entity_type=LP;outcome=approved
FT-COM-2025-00069,Verify Legal Entity,2025-06-13 13:50:43,KYC Analyst (Commercial),entity_type=LLC;outcome=abandoned
FT-COM-2025-00070,Verify Legal Entity,2025-06-12 23:21:39,KYC Analyst (Commercial),entity_type=LP;outcome=approved
FT-COM-2025-00071,Verify Legal Entity,2025-06-14 19:47:11,KYC Analyst (Commercial),entity_type=LLC;outcome=abandoned
FT-COM-2025-00072,Verify Legal Entity,2025-06-13 18:03:47,KYC Analyst (Commercial),entity_type=LLC;outcome=approved
FT-COM-2025-00073,Verify Legal Entity,2025-06-14 01:46:37,KYC Analyst (Commercial),entity_type=LLC;outcome=declined;decline_reason=industry_blocked
FT-COM-2025-00074,Verify Legal Entity,2025-06-15 09:11:40,KYC Analyst (Commercial),entity_type=Partnership;outcome=approved
FT-COM-2025-00075,Verify Legal Entity,2025-06-14 19:06:04,KYC Analyst (Commercial),entity_type=Partnership;outcome=approved
FT-COM-2025-00076,Verify Legal Entity,2025-06-15 13:38:13,KYC Analyst (Commercial),entity_type=LLC;risk_flag=pep_hit;outcome=approved
FT-COM-2025-00077,Verify Legal Entity,2025-06-16 19:01:57,KYC Analyst (Commercial),entity_type=Corp;outcome=abandoned
FT-COM-2025-00078,Verify Legal Entity,2025-06-17 19:03:43,KYC Analyst (Commercial),entity_type=Partnership;outcome=approved
FT-COM-2025-00079,Verify Legal Entity,2025-06-18 04:11:28,KYC Analyst (Commercial),entity_type=LP;outcome=approved
FT-COM-2025-00080,Verify Legal Entity,2025-06-17 18:09:41,KYC Analyst (Commercial),entity_type=Corp;outcome=abandoned
FT-COM-2025-00081,Verify Legal Entity,2025-06-20 03:31:20,KYC Analyst (Commercial),entity_type=LLC;risk_flag=pep_hit;outcome=approved
