case_id,activity,event_timestamp,actor,case_attributes
FT-COM-2025-00001,Provision Account in Core,2025-05-05 02:21:46,Core Banking System,entity_type=LP;outcome=approved
FT-COM-2025-00002,Provision Account in Core,2025-05-11 16:51:12,Core Banking System,entity_type=Corp;risk_flag=pep_hit;outcome=approved
FT-COM-2025-00003,Provision Account in Core,2025-05-07 21:39:04,Core Banking System,entity_type=LLC;outcome=approved
FT-COM-2025-00004,Provision Account in Core,2025-05-08 18:33:57,Core Banking System,entity_type=Partnership;outcome=approved
FT-COM-2025-00005,Provision Account in Core,2025-05-09 06:16:55,Core Banking System,entity_type=LP;outcome=approved
FT-COM-2025-00006,Provision Account in Core,2025-05-12 19:56:02,Core Banking System,entity_type=Corp;outcome=approved
FT-COM-2025-00007,Provision Account in Core,2025-05-10 06:43:45,Core Banking System,entity_type=Corp;outcome=approved
FT-COM-2025-00008,Provision Account in Core,2025-05-14 22:55:15,Core Banking System,entity_type=LLC;risk_flag=pep_hit;outcome=approved
FT-COM-2025-00010,Provision Account in Core,2025-05-09 19:55:34,Core Banking System,entity_type=LLC;outcome=approved
FT-COM-2025-00011,Provision Account in Core,2025-05-09 16:01:30,Core Banking System,entity_type=Corp;outcome=approved
FT-COM-2025-00012,Provision Account in Core,2025-05-13 19:03:57,Core Banking System,entity_type=LLC;outcome=approved
FT-COM-2025-00013,Provision Account in Core,2025-05-11 23:56:12,Core Banking System,entity_type=Partnership;outcome=approved
FT-COM-2025-00014,Provision Account in Core,2025-05-12 22:35:24,Core Banking System,entity_type=LP;outcome=approved
FT-COM-2025-00015,Provision Account in Core,2025-05-12 21:53:33,Core Banking System,entity_type=Partnership;outcome=approved
FT-COM-2025-00016,Provision Account in Core,2025-05-14 15:59:09,Core Banking System,entity_type=LLC;outcome=approved
FT-COM-2025-00017,Provision Account in Core,2025-05-14 10:01:08,Core Banking System,entity_type=Corp;outcome=approved
FT-COM-2025-00018,Provision Account in Core,2025-05-16 16:32:30,Core Banking System,entity_type=Corp;outcome=approved
FT-COM-2025-00019,Provision Account in Core,2025-05-17 04:43:09,Core Banking System,entity_type=LP;outcome=approved
FT-COM-2025-00020,Provision Account in Core,2025-05-16 17:00:02,Core Banking System,entity_type=Partnership;outcome=approved
FT-COM-2025-00021,Provision Account in Core,2025-05-17 06:30:24,Core Banking System,entity_type=Partnership;outcome=approved
FT-COM-2025-00022,Provision Account in Core,2025-05-17 09:42:37,Core Banking System,entity_type=Partnership;outcome=approved
FT-COM-2025-00023,Provision Account in Core,2025-05-18 11:36:42,Core Banking System,entity_type=LLC;outcome=approved
