case_id,activity,event_timestamp,actor,case_attributes
FT-COM-2025-00001,Run Sanctions & PEP Screening,2025-05-03 04:21:46,KYC Analyst (Commercial),entity_type=LP;outcome=approved
FT-COM-2025-00002,Run Sanctions & PEP Screening,2025-05-02 15:51:12,KYC Analyst (Commercial),entity_type=Corp;risk_flag=pep_hit;outcome=approved
FT-COM-2025-00003,Run Sanctions & PEP Screening,2025-05-05 16:39:04,KYC Analyst (Commercial),entity_type=LLC;outcome=approved
FT-COM-2025-00004,Run Sanctions & PEP Screening,2025-05-06 00:33:57,KYC Analyst (Commercial),entity_type=Partnership;outcome=approved
FT-COM-2025-00005,Run Sanctions & PEP Screening,2025-05-06 18:16:55,KYC Analyst (Commercial),entity_type=LP;outcome=approved
FT-COM-2025-00006,Run Sanctions & PEP Screening,2025-05-07 19:56:02,KYC Analyst (Commercial),entity_type=Corp;outcome=approved
FT-COM-2025-00006,Run Sanctions & PEP Screening,2025-05-09 13:56:02,KYC Analyst (Commercial),rework_reason=rerun_after_ubo_update
FT-COM-2025-00007,Run Sanctions & PEP Screening,2025-05-05 13:43:45,KYC Analyst (Commercial),entity_type=Corp;outcome=approved
FT-COM-2025-00007,Run Sanctions & PEP Screening,2025-05-08 17:43:45,KYC Analyst (Commercial),rework_reason=rerun_after_ubo_update
FT-COM-2025-00008,Run Sanctions & PEP Screening,2025-05-06 22:55:15,KYC Analyst (Commercial),entity_type=LLC;risk_flag=pep_hit;outcome=approved
FT-COM-2025-00010,Run Sanctions & PEP Screening,2025-05-08 15:55:34,KYC Analyst (Commercial),entity_type=LLC;outcome=approved
FT-COM-2025-00011,Run Sanctions & PEP Screening,2025-05-07 23:01:30,KYC Analyst (Commercial),entity_type=Corp;outcome=approved
FT-COM-2025-00012,Run Sanctions & PEP Screening,2025-05-09 06:03:57,KYC Analyst (Commercial),entity_type=LLC;outcome=approved
FT-COM-2025-00012,Run Sanctions & PEP Screening,2025-05-11 21:03:57,KYC Analyst (Commercial),rework_reason=rerun_after_ubo_update
