case_id,activity,event_timestamp,actor,case_attributes
FT-COM-2025-00001,Identify Beneficial Owners,2025-05-02 19:21:46,KYC Analyst (Commercial),entity_type=LP;outcome=approved
FT-COM-2025-00001,Assess Credit Risk Profile,2025-05-04 00:21:46,Credit Underwriter,entity_type=LP;outcome=approved
FT-COM-2025-00001,Set Up Account Mandate,2025-05-04 10:21:46,Onboarding Operations,entity_type=LP;outcome=approved
FT-COM-2025-00002,Identify Beneficial Owners,2025-05-02 11:51:12,KYC Analyst (Commercial),entity_type=Corp;risk_flag=pep_hit;outcome=approved
FT-COM-2025-00002,Assess Credit Risk Profile,2025-05-11 04:51:12,Credit Underwriter,entity_type=Corp;risk_flag=pep_hit;outcome=approved
FT-COM-2025-00002,Set Up Account Mandate,2025-05-11 09:51:12,Onboarding Operations,entity_type=Corp;risk_flag=pep_hit;outcome=approved
FT-COM-2025-00003,Identify Beneficial Owners,2025-05-04 22:39:04,KYC Analyst (Commercial),entity_type=LLC;outcome=approved
FT-COM-2025-00003,Assess Credit Risk Profile,2025-05-06 20:39:04,Credit Underwriter,entity_type=LLC;outcome=approved
FT-COM-2025-00003,Set Up Account Mandate,2025-05-07 19:39:04,Onboarding Operations,entity_type=LLC;outcome=approved
FT-COM-2025-00004,Identify Beneficial Owners,2025-05-05 17:33:57,KYC Analyst (Commercial),entity_type=Partnership;outcome=approved
FT-COM-2025-00004,Assess Credit Risk Profile,2025-05-08 03:33:57,Credit Underwriter,entity_type=Partnership;outcome=approved
FT-COM-2025-00004,Set Up Account Mandate,2025-05-08 07:33:57,Onboarding Operations,entity_type=Partnership;outcome=approved
FT-COM-2025-00005,Identify Beneficial Owners,2025-05-05 23:16:55,KYC Analyst (Commercial),entity_type=LP;outcome=approved
FT-COM-2025-00005,Assess Credit Risk Profile,2025-05-07 19:16:55,Credit Underwriter,entity_type=LP;outcome=approved
FT-COM-2025-00005,Set Up Account Mandate,2025-05-08 18:16:55,Onboarding Operations,entity_type=LP;outcome=approved
FT-COM-2025-00006,Identify Beneficial Owners,2025-05-06 21:56:02,KYC Analyst (Commercial),entity_type=Corp;outcome=approved
FT-COM-2025-00006,Identify Beneficial Owners,2025-05-09 03:56:02,KYC Analyst (Commercial),rework_reason=ubo_docs_incomplete
FT-COM-2025-00006,Assess Credit Risk Profile,2025-05-11 05:56:02,Credit Underwriter,entity_type=Corp;outcome=approved
FT-COM-2025-00006,Set Up Account Mandate,2025-05-11 23:56:02,Onboarding Operations,entity_type=Corp;outcome=approved
FT-COM-2025-00007,Identify Beneficial Owners,2025-05-04 13:43:45,KYC Analyst (Commercial),entity_type=Corp;outcome=approved
FT-COM-2025-00007,Identify Beneficial Owners,2025-05-08 07:43:45,KYC Analyst (Commercial),rework_reason=ubo_docs_incomplete
FT-COM-2025-00007,Assess Credit Risk Profile,2025-05-09 04:43:45,Credit Underwriter,entity_type=Corp;outcome=approved
FT-COM-2025-00007,Set Up Account Mandate,2025-05-09 21:43:45,Onboarding Operations,entity_type=Corp;outcome=approved
FT-COM-2025-00008,Identify Beneficial Owners,2025-05-05 23:55:15,KYC Analyst (Commercial),entity_type=LLC;risk_flag=pep_hit;outcome=approved
FT-COM-2025-00008,Assess Credit Risk Profile,2025-05-14 06:55:15,Credit Underwriter,entity_type=LLC;risk_flag=pep_hit;outcome=approved
FT-COM-2025-00008,Set Up Account Mandate,2025-05-14 08:55:15,Onboarding Operations,entity_type=LLC;risk_flag=pep_hit;outcome=approved
FT-COM-2025-00010,Identify Beneficial Owners,2025-05-08 10:55:34,KYC Analyst (Commercial),entity_type=LLC;outcome=approved
FT-COM-2025-00010,Assess Credit Risk Profile,2025-05-09 01:55:34,Credit Underwriter,entity_type=LLC;outcome=approved
FT-COM-2025-00010,Set Up Account Mandate,2025-05-09 16:55:34,Onboarding Operations,entity_type=LLC;outcome=approved
FT-COM-2025-00011,Identify Beneficial Owners,2025-05-07 16:01:30,KYC Analyst (Commercial),entity_type=Corp;outcome=approved
FT-COM-2025-00011,Assess Credit Risk Profile,2025-05-09 04:01:30,Credit Underwriter,entity_type=Corp;outcome=approved
