case_id,activity,event_timestamp,actor,case_attributes
FT-SME-2025-00001,Receive Signed Documents,2025-05-09 19:12:17,SME Borrower,loan_amount=370818;outcome=funded
FT-SME-2025-00003,Receive Signed Documents,2025-05-07 04:30:23,SME Borrower,loan_amount=634071;outcome=funded
FT-SME-2025-00003,Receive Signed Documents,2025-05-09 04:30:23,SME Borrower,condition=stipulation_re-signed
FT-SME-2025-00004,Receive Signed Documents,2025-05-07 08:37:03,SME Borrower,loan_amount=623647;industry=healthcare;outcome=funded
FT-SME-2025-00005,Receive Signed Documents,2025-05-08 02:25:05,SME Borrower,loan_amount=579393;industry=retail;outcome=funded
FT-SME-2025-00007,Receive Signed Documents,2025-05-08 05:26:52,SME Borrower,loan_amount=644483;industry=manufacturing;outcome=funded
FT-SME-2025-00008,Receive Signed Documents,2025-05-09 11:39:00,SME Borrower,loan_amount=661460;industry=professional_services;outcome=funded
FT-SME-2025-00009,Receive Signed Documents,2025-05-09 05:29:20,SME Borrower,loan_amount=587947;industry=construction;outcome=funded
FT-SME-2025-00010,Receive Signed Documents,2025-05-10 06:23:33,SME Borrower,loan_amount=755075;outcome=funded
FT-SME-2025-00010,Receive Signed Documents,2025-05-13 06:23:33,SME Borrower,condition=stipulation_re-signed
FT-SME-2025-00011,Receive Signed Documents,2025-05-08 14:07:55,SME Borrower,loan_amount=581362;industry=professional_services;outcome=funded
FT-SME-2025-00012,Receive Signed Documents,2025-05-09 11:29:15,SME Borrower,loan_amount=354375;industry=retail;outcome=funded
FT-SME-2025-00013,Receive Signed Documents,2025-05-10 16:18:32,SME Borrower,loan_amount=88413;industry=retail;outcome=funded
FT-SME-2025-00015,Receive Signed Documents,2025-05-09 22:01:49,SME Borrower,loan_amount=58712;industry=manufacturing;outcome=funded
FT-SME-2025-00016,Receive Signed Documents,2025-05-12 21:14:44,SME Borrower,loan_amount=1462585;outcome=funded;uw_path=manual
FT-SME-2025-00017,Receive Signed Documents,2025-05-10 04:53:51,SME Borrower,loan_amount=146247;industry=healthcare;outcome=funded
