case_id,activity,event_timestamp,actor,case_attributes
FT-SME-2025-00001,Verify Business Identity,2025-05-03 06:12:17,Loan Processor,loan_amount=370818;outcome=funded
FT-SME-2025-00001,Verify Business Identity,2025-05-04 23:12:17,Loan Processor,rework_reason=rerun_after_doc_update
FT-SME-2025-00001,Pull Business Credit,2025-05-07 22:12:17,Loan Processor,loan_amount=370818;outcome=funded
FT-SME-2025-00002,Verify Business Identity,2025-05-03 17:36:35,Loan Processor,loan_amount=227137;outcome=declined;decline_reason=insufficient_collateral
FT-SME-2025-00002,Pull Business Credit,2025-05-04 12:36:35,Loan Processor,loan_amount=227137;outcome=declined;decline_reason=insufficient_collateral
FT-SME-2025-00003,Verify Business Identity,2025-05-01 17:30:23,Loan Processor,loan_amount=634071;outcome=funded
FT-SME-2025-00003,Pull Business Credit,2025-05-02 12:30:23,Loan Processor,loan_amount=634071;outcome=funded
FT-SME-2025-00004,Verify Business Identity,2025-05-03 09:37:03,Loan Processor,loan_amount=623647;industry=healthcare;outcome=funded
FT-SME-2025-00004,Pull Business Credit,2025-05-04 09:37:03,Loan Processor,loan_amount=623647;industry=healthcare;outcome=funded
FT-SME-2025-00005,Verify Business Identity,2025-05-04 11:25:05,Loan Processor,loan_amount=579393;industry=retail;outcome=funded
FT-SME-2025-00005,Pull Business Credit,2025-05-05 01:25:05,Loan Processor,loan_amount=579393;industry=retail;outcome=funded
FT-SME-2025-00006,Verify Business Identity,2025-05-05 02:14:21,Loan Processor,loan_amount=372522;outcome=declined;decline_reason=insufficient_collateral
FT-SME-2025-00006,Pull Business Credit,2025-05-05 23:14:21,Loan Processor,loan_amount=372522;outcome=declined;decline_reason=insufficient_collateral
FT-SME-2025-00007,Verify Business Identity,2025-05-04 01:26:52,Loan Processor,loan_amount=644483;industry=manufacturing;outcome=funded
FT-SME-2025-00007,Pull Business Credit,2025-05-04 22:26:52,Loan Processor,loan_amount=644483;industry=manufacturing;outcome=funded
FT-SME-2025-00008,Verify Business Identity,2025-05-05 19:39:00,Loan Processor,loan_amount=661460;industry=professional_services;outcome=funded
FT-SME-2025-00008,Pull Business Credit,2025-05-06 01:39:00,Loan Processor,loan_amount=661460;industry=professional_services;outcome=funded
FT-SME-2025-00009,Verify Business Identity,2025-05-04 10:29:20,Loan Processor,loan_amount=587947;industry=construction;outcome=funded
FT-SME-2025-00009,Pull Business Credit,2025-05-04 19:29:20,Loan Processor,loan_amount=587947;industry=construction;outcome=funded
FT-SME-2025-00010,Verify Business Identity,2025-05-06 07:23:33,Loan Processor,loan_amount=755075;outcome=funded
FT-SME-2025-00010,Pull Business Credit,2025-05-06 12:23:33,Loan Processor,loan_amount=755075;outcome=funded
FT-SME-2025-00011,Verify Business Identity,2025-05-04 10:07:55,Loan Processor,loan_amount=581362;industry=professional_services;outcome=funded
FT-SME-2025-00011,Pull Business Credit,2025-05-04 22:07:55,Loan Processor,loan_amount=581362;industry=professional_services;outcome=funded
FT-SME-2025-00012,Verify Business Identity,2025-05-05 22:29:15,Loan Processor,loan_amount=354375;industry=retail;outcome=funded
FT-SME-2025-00012,Pull Business Credit,2025-05-06 01:29:15,Loan Processor,loan_amount=354375;industry=retail;outcome=funded
FT-SME-2025-00013,Verify Business Identity,2025-05-06 06:18:32,Loan Processor,loan_amount=88413;industry=retail;outcome=funded
FT-SME-2025-00013,Pull Business Credit,2025-05-06 11:18:32,Loan Processor,loan_amount=88413;industry=retail;outcome=funded
FT-SME-2025-00014,Verify Business Identity,2025-05-07 06:12:01,Loan Processor,loan_amount=376606;outcome=declined;decline_reason=insufficient_collateral
FT-SME-2025-00014,Pull Business Credit,2025-05-08 07:12:01,Loan Processor,loan_amount=376606;outcome=declined;decline_reason=insufficient_collateral
FT-SME-2025-00015,Verify Business Identity,2025-05-06 09:01:49,Loan Processor,loan_amount=58712;industry=manufacturing;outcome=funded
FT-SME-2025-00015,Pull Business Credit,2025-05-07 04:01:49,Loan Processor,loan_amount=58712;industry=manufacturing;outcome=funded
FT-SME-2025-00016,Verify Business Identity,2025-05-05 06:14:44,Loan Processor,loan_amount=1462585;outcome=funded;uw_path=manual
FT-SME-2025-00016,Pull Business Credit,2025-05-06 04:14:44,Loan Processor,loan_amount=1462585;outcome=funded;uw_path=manual
FT-SME-2025-00017,Verify Business Identity,2025-05-07 00:53:51,Loan Processor,loan_amount=146247;industry=healthcare;outcome=funded
FT-SME-2025-00017,Pull Business Credit,2025-05-07 02:53:51,Loan Processor,loan_amount=146247;industry=healthcare;outcome=funded
FT-SME-2025-00018,Verify Business Identity,2025-05-07 02:35:53,Loan Processor,loan_amount=472869;industry=professional_services;outcome=funded
FT-SME-2025-00018,Pull Business Credit,2025-05-07 20:35:53,Loan Processor,loan_amount=472869;industry=professional_services;outcome=funded
FT-SME-2025-00019,Verify Business Identity,2025-05-05 20:38:14,Loan Processor,loan_amount=111598;outcome=declined;decline_reason=industry_risk
FT-SME-2025-00019,Pull Business Credit,2025-05-06 00:38:14,Loan Processor,loan_amount=111598;outcome=declined;decline_reason=industry_risk
FT-SME-2025-00020,Verify Business Identity,2025-05-07 06:43:11,Loan Processor,loan_amount=292969;industry=construction;outcome=funded
FT-SME-2025-00020,Pull Business Credit,2025-05-07 16:43:11,Loan Processor,loan_amount=292969;industry=construction;outcome=funded
FT-SME-2025-00021,Verify Business Identity,2025-05-08 12:56:38,Loan Processor,loan_amount=96476;outcome=funded
FT-SME-2025-00021,Verify Business Identity,2025-05-10 07:56:38,Loan Processor,rework_reason=rerun_after_doc_update
FT-SME-2025-00021,Pull Business Credit,2025-05-12 04:56:38,Loan Processor,loan_amount=96476;outcome=funded
FT-SME-2025-00022,Verify Business Identity,2025-05-09 14:17:28,Loan Processor,loan_amount=469627;outcome=withdrawn;withdrawal_reason=no_response
FT-SME-2025-00022,Pull Business Credit,2025-05-10 08:17:28,Loan Processor,loan_amount=469627;outcome=withdrawn;withdrawal_reason=no_response
FT-SME-2025-00023,Verify Business Identity,2025-05-08 23:03:51,Loan Processor,loan_amount=529357;outcome=funded
FT-SME-2025-00023,Verify Business Identity,2025-05-10 09:03:51,Loan Processor,rework_reason=rerun_after_doc_update
FT-SME-2025-00023,Pull Business Credit,2025-05-12 02:03:51,Loan Processor,loan_amount=529357;outcome=funded
FT-SME-2025-00024,Verify Business Identity,2025-05-10 01:01:35,Loan Processor,loan_amount=312059;outcome=funded
FT-SME-2025-00024,Verify Business Identity,2025-05-12 01:01:35,Loan Processor,rework_reason=rerun_after_doc_update
FT-SME-2025-00024,Pull Business Credit,2025-05-14 00:01:35,Loan Processor,loan_amount=312059;outcome=funded
FT-SME-2025-00025,Verify Business Identity,2025-05-08 22:08:40,Loan Processor,loan_amount=744625;industry=construction;outcome=funded
FT-SME-2025-00025,Pull Business Credit,2025-05-09 18:08:40,Loan Processor,loan_amount=744625;industry=construction;outcome=funded
FT-SME-2025-00026,Verify Business Identity,2025-05-08 15:31:15,Loan Processor,loan_amount=266378;industry=professional_services;outcome=funded
FT-SME-2025-00026,Pull Business Credit,2025-05-09 15:31:15,Loan Processor,loan_amount=266378;industry=professional_services;outcome=funded
FT-SME-2025-00027,Verify Business Identity,2025-05-09 19:04:17,Loan Processor,loan_amount=306754;industry=construction;outcome=funded
FT-SME-2025-00027,Pull Business Credit,2025-05-10 07:04:17,Loan Processor,loan_amount=306754;industry=construction;outcome=funded
FT-SME-2025-00028,Verify Business Identity,2025-05-10 14:50:57,Loan Processor,loan_amount=790989;outcome=funded;uw_path=manual
FT-SME-2025-00028,Pull Business Credit,2025-05-11 00:50:57,Loan Processor,loan_amount=790989;outcome=funded;uw_path=manual
FT-SME-2025-00029,Verify Business Identity,2025-05-11 20:48:32,Loan Processor,loan_amount=69509;industry=manufacturing;outcome=funded
FT-SME-2025-00029,Pull Business Credit,2025-05-12 07:48:32,Loan Processor,loan_amount=69509;industry=manufacturing;outcome=funded
FT-SME-2025-00030,Verify Business Identity,2025-05-10 03:34:19,Loan Processor,loan_amount=731737;industry=healthcare;outcome=funded
FT-SME-2025-00030,Pull Business Credit,2025-05-10 12:34:19,Loan Processor,loan_amount=731737;industry=healthcare;outcome=funded
FT-SME-2025-00031,Verify Business Identity,2025-05-10 08:32:26,Loan Processor,loan_amount=115018;outcome=funded
FT-SME-2025-00031,Verify Business Identity,2025-05-11 23:32:26,Loan Processor,rework_reason=rerun_after_doc_update
FT-SME-2025-00031,Pull Business Credit,2025-05-13 18:32:26,Loan Processor,loan_amount=115018;outcome=funded
FT-SME-2025-00032,Verify Business Identity,2025-05-12 10:05:31,Loan Processor,loan_amount=70305;industry=healthcare;outcome=funded
FT-SME-2025-00032,Pull Business Credit,2025-05-13 06:05:31,Loan Processor,loan_amount=70305;industry=healthcare;outcome=funded
FT-SME-2025-00033,Verify Business Identity,2025-05-10 22:24:40,Loan Processor,loan_amount=255217;outcome=withdrawn;withdrawal_reason=no_response
FT-SME-2025-00033,Pull Business Credit,2025-05-11 07:24:40,Loan Processor,loan_amount=255217;outcome=withdrawn;withdrawal_reason=no_response
