case_id,activity,event_timestamp,actor,case_attributes
FT-SME-2025-00001,Capture Business Documentation,2025-05-02 11:12:17,Loan Processor,loan_amount=370818;outcome=funded
FT-SME-2025-00001,Capture Business Documentation,2025-05-04 10:12:17,Loan Processor,rework_reason=missing_tax_return
FT-SME-2025-00001,Prepare & Send Loan Documents,2025-05-09 15:12:17,Loan Processor,loan_amount=370818;outcome=funded
FT-SME-2025-00001,Conduct Closing Review,2025-05-09 23:12:17,Loan Closer,loan_amount=370818;outcome=funded
FT-SME-2025-00002,Capture Business Documentation,2025-05-02 22:36:35,Loan Processor,loan_amount=227137;outcome=declined;decline_reason=insufficient_collateral
FT-SME-2025-00003,Capture Business Documentation,2025-05-01 04:30:23,Loan Processor,loan_amount=634071;outcome=funded
FT-SME-2025-00003,Prepare & Send Loan Documents,2025-05-06 12:30:23,Loan Processor,loan_amount=634071;outcome=funded
FT-SME-2025-00003,Conduct Closing Review,2025-05-11 09:30:23,Loan Closer,loan_amount=634071;outcome=funded
FT-SME-2025-00004,Capture Business Documentation,2025-05-03 06:37:03,Loan Processor,loan_amount=623647;industry=healthcare;outcome=funded
FT-SME-2025-00004,Prepare & Send Loan Documents,2025-05-07 02:37:03,Loan Processor,loan_amount=623647;industry=healthcare;outcome=funded
FT-SME-2025-00004,Conduct Closing Review,2025-05-08 07:37:03,Loan Closer,loan_amount=623647;industry=healthcare;outcome=funded
FT-SME-2025-00005,Capture Business Documentation,2025-05-03 09:25:05,Loan Processor,loan_amount=579393;industry=retail;outcome=funded
FT-SME-2025-00005,Prepare & Send Loan Documents,2025-05-08 00:25:05,Loan Processor,loan_amount=579393;industry=retail;outcome=funded
FT-SME-2025-00005,Conduct Closing Review,2025-05-08 12:25:05,Loan Closer,loan_amount=579393;industry=retail;outcome=funded
FT-SME-2025-00006,Capture Business Documentation,2025-05-04 23:14:21,Loan Processor,loan_amount=372522;outcome=declined;decline_reason=insufficient_collateral
FT-SME-2025-00007,Capture Business Documentation,2025-05-03 23:26:52,Loan Processor,loan_amount=644483;industry=manufacturing;outcome=funded
FT-SME-2025-00007,Prepare & Send Loan Documents,2025-05-07 14:26:52,Loan Processor,loan_amount=644483;industry=manufacturing;outcome=funded
FT-SME-2025-00007,Conduct Closing Review,2025-05-08 22:26:52,Loan Closer,loan_amount=644483;industry=manufacturing;outcome=funded
FT-SME-2025-00008,Capture Business Documentation,2025-05-04 17:39:00,Loan Processor,loan_amount=661460;industry=professional_services;outcome=funded
FT-SME-2025-00008,Prepare & Send Loan Documents,2025-05-08 22:39:00,Loan Processor,loan_amount=661460;industry=professional_services;outcome=funded
FT-SME-2025-00008,Conduct Closing Review,2025-05-10 09:39:00,Loan Closer,loan_amount=661460;industry=professional_services;outcome=funded
FT-SME-2025-00009,Capture Business Documentation,2025-05-04 07:29:20,Loan Processor,loan_amount=587947;industry=construction;outcome=funded
FT-SME-2025-00009,Prepare & Send Loan Documents,2025-05-08 03:29:20,Loan Processor,loan_amount=587947;industry=construction;outcome=funded
FT-SME-2025-00009,Conduct Closing Review,2025-05-10 06:29:20,Loan Closer,loan_amount=587947;industry=construction;outcome=funded
FT-SME-2025-00010,Capture Business Documentation,2025-05-05 05:23:33,Loan Processor,loan_amount=755075;outcome=funded
FT-SME-2025-00010,Prepare & Send Loan Documents,2025-05-09 18:23:33,Loan Processor,loan_amount=755075;outcome=funded
FT-SME-2025-00010,Conduct Closing Review,2025-05-14 22:23:33,Loan Closer,loan_amount=755075;outcome=funded
FT-SME-2025-00011,Capture Business Documentation,2025-05-03 15:07:55,Loan Processor,loan_amount=581362;industry=professional_services;outcome=funded
FT-SME-2025-00011,Prepare & Send Loan Documents,2025-05-08 03:07:55,Loan Processor,loan_amount=581362;industry=professional_services;outcome=funded
FT-SME-2025-00011,Conduct Closing Review,2025-05-09 12:07:55,Loan Closer,loan_amount=581362;industry=professional_services;outcome=funded
FT-SME-2025-00012,Capture Business Documentation,2025-05-05 13:29:15,Loan Processor,loan_amount=354375;industry=retail;outcome=funded
FT-SME-2025-00012,Prepare & Send Loan Documents,2025-05-08 15:29:15,Loan Processor,loan_amount=354375;industry=retail;outcome=funded
FT-SME-2025-00012,Conduct Closing Review,2025-05-09 22:29:15,Loan Closer,loan_amount=354375;industry=retail;outcome=funded
FT-SME-2025-00013,Capture Business Documentation,2025-05-05 13:18:32,Loan Processor,loan_amount=88413;industry=retail;outcome=funded
FT-SME-2025-00013,Prepare & Send Loan Documents,2025-05-09 19:18:32,Loan Processor,loan_amount=88413;industry=retail;outcome=funded
FT-SME-2025-00013,Conduct Closing Review,2025-05-11 14:18:32,Loan Closer,loan_amount=88413;industry=retail;outcome=funded
FT-SME-2025-00014,Capture Business Documentation,2025-05-06 16:12:01,Loan Processor,loan_amount=376606;outcome=declined;decline_reason=insufficient_collateral
FT-SME-2025-00015,Capture Business Documentation,2025-05-06 06:01:49,Loan Processor,loan_amount=58712;industry=manufacturing;outcome=funded
FT-SME-2025-00015,Prepare & Send Loan Documents,2025-05-08 22:01:49,Loan Processor,loan_amount=58712;industry=manufacturing;outcome=funded
FT-SME-2025-00015,Conduct Closing Review,2025-05-10 18:01:49,Loan Closer,loan_amount=58712;industry=manufacturing;outcome=funded
FT-SME-2025-00016,Capture Business Documentation,2025-05-04 23:14:44,Loan Processor,loan_amount=1462585;outcome=funded;uw_path=manual
FT-SME-2025-00016,Prepare & Send Loan Documents,2025-05-12 06:14:44,Loan Processor,loan_amount=1462585;outcome=funded;uw_path=manual
FT-SME-2025-00016,Conduct Closing Review,2025-05-13 12:14:44,Loan Closer,loan_amount=1462585;outcome=funded;uw_path=manual
FT-SME-2025-00017,Capture Business Documentation,2025-05-06 12:53:51,Loan Processor,loan_amount=146247;industry=healthcare;outcome=funded
FT-SME-2025-00017,Prepare & Send Loan Documents,2025-05-09 13:53:51,Loan Processor,loan_amount=146247;industry=healthcare;outcome=funded
FT-SME-2025-00017,Conduct Closing Review,2025-05-10 20:53:51,Loan Closer,loan_amount=146247;industry=healthcare;outcome=funded
FT-SME-2025-00018,Capture Business Documentation,2025-05-06 07:35:53,Loan Processor,loan_amount=472869;industry=professional_services;outcome=funded
FT-SME-2025-00018,Prepare & Send Loan Documents,2025-05-10 09:35:53,Loan Processor,loan_amount=472869;industry=professional_services;outcome=funded
FT-SME-2025-00018,Conduct Closing Review,2025-05-12 07:35:53,Loan Closer,loan_amount=472869;industry=professional_services;outcome=funded
FT-SME-2025-00019,Capture Business Documentation,2025-05-05 12:38:14,Loan Processor,loan_amount=111598;outcome=declined;decline_reason=industry_risk
FT-SME-2025-00020,Capture Business Documentation,2025-05-07 04:43:11,Loan Processor,loan_amount=292969;industry=construction;outcome=funded
FT-SME-2025-00020,Prepare & Send Loan Documents,2025-05-10 19:43:11,Loan Processor,loan_amount=292969;industry=construction;outcome=funded
FT-SME-2025-00020,Conduct Closing Review,2025-05-12 03:43:11,Loan Closer,loan_amount=292969;industry=construction;outcome=funded
FT-SME-2025-00021,Capture Business Documentation,2025-05-08 07:56:38,Loan Processor,loan_amount=96476;outcome=funded
FT-SME-2025-00021,Capture Business Documentation,2025-05-09 14:56:38,Loan Processor,rework_reason=missing_tax_return
FT-SME-2025-00021,Prepare & Send Loan Documents,2025-05-14 17:56:38,Loan Processor,loan_amount=96476;outcome=funded
FT-SME-2025-00021,Conduct Closing Review,2025-05-15 13:56:38,Loan Closer,loan_amount=96476;outcome=funded
FT-SME-2025-00022,Capture Business Documentation,2025-05-09 01:17:28,Loan Processor,loan_amount=469627;outcome=withdrawn;withdrawal_reason=no_response
FT-SME-2025-00023,Capture Business Documentation,2025-05-08 03:03:51,Loan Processor,loan_amount=529357;outcome=funded
