case_id,activity,event_timestamp,actor,case_attributes
FT-SME-2025-00001,Pull Owner Personal Credit,2025-05-08 04:12:17,Loan Processor,loan_amount=370818;outcome=funded
FT-SME-2025-00002,Pull Owner Personal Credit,2025-05-05 01:36:35,Loan Processor,loan_amount=227137;outcome=declined;decline_reason=insufficient_collateral
FT-SME-2025-00003,Pull Owner Personal Credit,2025-05-03 06:30:23,Loan Processor,loan_amount=634071;outcome=funded
FT-SME-2025-00004,Pull Owner Personal Credit,2025-05-04 17:37:03,Loan Processor,loan_amount=623647;industry=healthcare;outcome=funded
FT-SME-2025-00005,Pull Owner Personal Credit,2025-05-05 19:25:05,Loan Processor,loan_amount=579393;industry=retail;outcome=funded
FT-SME-2025-00006,Pull Owner Personal Credit,2025-05-06 21:14:21,Loan Processor,loan_amount=372522;outcome=declined;decline_reason=insufficient_collateral
FT-SME-2025-00007,Pull Owner Personal Credit,2025-05-05 00:26:52,Loan Processor,loan_amount=644483;industry=manufacturing;outcome=funded
FT-SME-2025-00008,Pull Owner Personal Credit,2025-05-06 07:39:00,Loan Processor,loan_amount=661460;industry=professional_services;outcome=funded
FT-SME-2025-00009,Pull Owner Personal Credit,2025-05-05 14:29:20,Loan Processor,loan_amount=587947;industry=construction;outcome=funded
FT-SME-2025-00010,Pull Owner Personal Credit,2025-05-07 11:23:33,Loan Processor,loan_amount=755075;outcome=funded
FT-SME-2025-00011,Pull Owner Personal Credit,2025-05-06 00:07:55,Loan Processor,loan_amount=581362;industry=professional_services;outcome=funded
FT-SME-2025-00012,Pull Owner Personal Credit,2025-05-07 03:29:15,Loan Processor,loan_amount=354375;industry=retail;outcome=funded
FT-SME-2025-00013,Pull Owner Personal Credit,2025-05-07 10:18:32,Loan Processor,loan_amount=88413;industry=retail;outcome=funded
FT-SME-2025-00014,Pull Owner Personal Credit,2025-05-08 17:12:01,Loan Processor,loan_amount=376606;outcome=declined;decline_reason=insufficient_collateral
FT-SME-2025-00015,Pull Owner Personal Credit,2025-05-07 09:01:49,Loan Processor,loan_amount=58712;industry=manufacturing;outcome=funded
FT-SME-2025-00016,Pull Owner Personal Credit,2025-05-06 19:14:44,Loan Processor,loan_amount=1462585;outcome=funded;uw_path=manual
FT-SME-2025-00017,Pull Owner Personal Credit,2025-05-07 21:53:51,Loan Processor,loan_amount=146247;industry=healthcare;outcome=funded
FT-SME-2025-00018,Pull Owner Personal Credit,2025-05-08 03:35:53,Loan Processor,loan_amount=472869;industry=professional_services;outcome=funded
FT-SME-2025-00019,Pull Owner Personal Credit,2025-05-06 16:38:14,Loan Processor,loan_amount=111598;outcome=declined;decline_reason=industry_risk
FT-SME-2025-00020,Pull Owner Personal Credit,2025-05-07 23:43:11,Loan Processor,loan_amount=292969;industry=construction;outcome=funded
FT-SME-2025-00021,Pull Owner Personal Credit,2025-05-13 05:56:38,Loan Processor,loan_amount=96476;outcome=funded
FT-SME-2025-00022,Pull Owner Personal Credit,2025-05-10 14:17:28,Loan Processor,loan_amount=469627;outcome=withdrawn;withdrawal_reason=no_response
FT-SME-2025-00023,Pull Owner Personal Credit,2025-05-12 21:03:51,Loan Processor,loan_amount=529357;outcome=funded
FT-SME-2025-00024,Pull Owner Personal Credit,2025-05-15 02:01:35,Loan Processor,loan_amount=312059;outcome=funded
