case_id,activity,event_timestamp,actor,case_attributes
FT-SME-2025-00001,Disburse Loan Funds,2025-05-11 00:12:17,Core Banking System,loan_amount=370818;outcome=funded
FT-SME-2025-00001,Set Up Loan Servicing,2025-05-11 13:12:17,Loan Processor,loan_amount=370818;outcome=funded
FT-SME-2025-00003,Disburse Loan Funds,2025-05-12 04:30:23,Core Banking System,loan_amount=634071;outcome=funded
FT-SME-2025-00003,Set Up Loan Servicing,2025-05-12 20:30:23,Loan Processor,loan_amount=634071;outcome=funded
FT-SME-2025-00004,Disburse Loan Funds,2025-05-09 01:37:03,Core Banking System,loan_amount=623647;industry=healthcare;outcome=funded
FT-SME-2025-00004,Set Up Loan Servicing,2025-05-09 04:37:03,Loan Processor,loan_amount=623647;industry=healthcare;outcome=funded
FT-SME-2025-00005,Disburse Loan Funds,2025-05-09 03:25:05,Core Banking System,loan_amount=579393;industry=retail;outcome=funded
FT-SME-2025-00005,Set Up Loan Servicing,2025-05-09 12:25:05,Loan Processor,loan_amount=579393;industry=retail;outcome=funded
FT-SME-2025-00007,Disburse Loan Funds,2025-05-09 09:26:52,Core Banking System,loan_amount=644483;industry=manufacturing;outcome=funded
FT-SME-2025-00007,Set Up Loan Servicing,2025-05-09 22:26:52,Loan Processor,loan_amount=644483;industry=manufacturing;outcome=funded
FT-SME-2025-00008,Disburse Loan Funds,2025-05-10 22:39:00,Core Banking System,loan_amount=661460;industry=professional_services;outcome=funded
FT-SME-2025-00008,Set Up Loan Servicing,2025-05-11 20:39:00,Loan Processor,loan_amount=661460;industry=professional_services;outcome=funded
FT-SME-2025-00009,Disburse Loan Funds,2025-05-10 23:29:20,Core Banking System,loan_amount=587947;industry=construction;outcome=funded
FT-SME-2025-00009,Set Up Loan Servicing,2025-05-11 15:29:20,Loan Processor,loan_amount=587947;industry=construction;outcome=funded
FT-SME-2025-00010,Disburse Loan Funds,2025-05-15 04:23:33,Core Banking System,loan_amount=755075;outcome=funded
FT-SME-2025-00010,Set Up Loan Servicing,2025-05-15 11:23:33,Loan Processor,loan_amount=755075;outcome=funded
FT-SME-2025-00011,Disburse Loan Funds,2025-05-09 22:07:55,Core Banking System,loan_amount=581362;industry=professional_services;outcome=funded
FT-SME-2025-00011,Set Up Loan Servicing,2025-05-10 11:07:55,Loan Processor,loan_amount=581362;industry=professional_services;outcome=funded
FT-SME-2025-00012,Disburse Loan Funds,2025-05-10 04:29:15,Core Banking System,loan_amount=354375;industry=retail;outcome=funded
FT-SME-2025-00012,Set Up Loan Servicing,2025-05-10 11:29:15,Loan Processor,loan_amount=354375;industry=retail;outcome=funded
FT-SME-2025-00013,Disburse Loan Funds,2025-05-12 12:18:32,Core Banking System,loan_amount=88413;industry=retail;outcome=funded
