case_id,activity,event_timestamp,actor,case_attributes
FT-SME-2025-00001,Assess Collateral,2025-05-08 19:12:17,Property Appraiser,loan_amount=370818;outcome=funded
FT-SME-2025-00002,Assess Collateral,2025-05-06 00:36:35,Property Appraiser,loan_amount=227137;outcome=declined;decline_reason=insufficient_collateral
FT-SME-2025-00003,Assess Collateral,2025-05-04 17:30:23,Property Appraiser,loan_amount=634071;outcome=funded
FT-SME-2025-00004,Assess Collateral,2025-05-05 13:37:03,Property Appraiser,loan_amount=623647;industry=healthcare;outcome=funded
FT-SME-2025-00005,Assess Collateral,2025-05-06 16:25:05,Property Appraiser,loan_amount=579393;industry=retail;outcome=funded
FT-SME-2025-00006,Assess Collateral,2025-05-08 13:14:21,Property Appraiser,loan_amount=372522;outcome=declined;decline_reason=insufficient_collateral
FT-SME-2025-00007,Assess Collateral,2025-05-06 07:26:52,Property Appraiser,loan_amount=644483;industry=manufacturing;outcome=funded
FT-SME-2025-00008,Assess Collateral,2025-05-07 18:39:00,Property Appraiser,loan_amount=661460;industry=professional_services;outcome=funded
FT-SME-2025-00009,Assess Collateral,2025-05-06 15:29:20,Property Appraiser,loan_amount=587947;industry=construction;outcome=funded
FT-SME-2025-00010,Assess Collateral,2025-05-08 20:23:33,Property Appraiser,loan_amount=755075;outcome=funded
FT-SME-2025-00011,Assess Collateral,2025-05-07 03:07:55,Property Appraiser,loan_amount=581362;industry=professional_services;outcome=funded
FT-SME-2025-00012,Assess Collateral,2025-05-07 20:29:15,Property Appraiser,loan_amount=354375;industry=retail;outcome=funded
FT-SME-2025-00013,Assess Collateral,2025-05-08 18:18:32,Property Appraiser,loan_amount=88413;industry=retail;outcome=funded
FT-SME-2025-00014,Assess Collateral,2025-05-10 07:12:01,Property Appraiser,loan_amount=376606;outcome=declined;decline_reason=insufficient_collateral
FT-SME-2025-00015,Assess Collateral,2025-05-08 10:01:49,Property Appraiser,loan_amount=58712;industry=manufacturing;outcome=funded
FT-SME-2025-00016,Assess Collateral,2025-05-11 17:14:44,Property Appraiser,loan_amount=1462585;outcome=funded;uw_path=manual
FT-SME-2025-00017,Assess Collateral,2025-05-08 12:53:51,Property Appraiser,loan_amount=146247;industry=healthcare;outcome=funded
FT-SME-2025-00018,Assess Collateral,2025-05-09 11:35:53,Property Appraiser,loan_amount=472869;industry=professional_services;outcome=funded
