case_id,activity,event_timestamp,actor,case_attributes
FT-SME-2025-00001,Submit Loan Application,2025-05-01 09:12:17,SME Borrower,loan_amount=370818;outcome=funded
FT-SME-2025-00001,Analyse Financial Statements,2025-05-08 16:12:17,Credit Underwriter (SME),loan_amount=370818;outcome=funded
FT-SME-2025-00001,Make Credit Decision,2025-05-09 06:12:17,Credit Underwriter (SME),loan_amount=370818;outcome=funded
FT-SME-2025-00002,Submit Loan Application,2025-05-02 05:36:35,SME Borrower,loan_amount=227137;outcome=declined;decline_reason=insufficient_collateral
FT-SME-2025-00002,Analyse Financial Statements,2025-05-05 03:36:35,Credit Underwriter (SME),loan_amount=227137;outcome=declined;decline_reason=insufficient_collateral
FT-SME-2025-00002,Make Credit Decision,2025-05-06 12:36:35,Credit Underwriter (SME),loan_amount=227137;outcome=declined;decline_reason=insufficient_collateral
FT-SME-2025-00003,Submit Loan Application,2025-04-30 11:30:23,SME Borrower,loan_amount=634071;outcome=funded
FT-SME-2025-00003,Analyse Financial Statements,2025-05-03 16:30:23,Credit Underwriter (SME),loan_amount=634071;outcome=funded
FT-SME-2025-00003,Make Credit Decision,2025-05-05 12:30:23,Credit Underwriter (SME),loan_amount=634071;outcome=funded
FT-SME-2025-00004,Submit Loan Application,2025-05-03 03:37:03,SME Borrower,loan_amount=623647;industry=healthcare;outcome=funded
FT-SME-2025-00004,Analyse Financial Statements,2025-05-04 21:37:03,Credit Underwriter (SME),loan_amount=623647;industry=healthcare;outcome=funded
FT-SME-2025-00004,Make Credit Decision,2025-05-06 05:37:03,Credit Underwriter (SME),loan_amount=623647;industry=healthcare;outcome=funded
FT-SME-2025-00005,Submit Loan Application,2025-05-03 00:25:05,SME Borrower,loan_amount=579393;industry=retail;outcome=funded
FT-SME-2025-00005,Analyse Financial Statements,2025-05-06 02:25:05,Credit Underwriter (SME),loan_amount=579393;industry=retail;outcome=funded
FT-SME-2025-00005,Make Credit Decision,2025-05-06 23:25:05,Credit Underwriter (SME),loan_amount=579393;industry=retail;outcome=funded
FT-SME-2025-00006,Submit Loan Application,2025-05-03 23:14:21,SME Borrower,loan_amount=372522;outcome=declined;decline_reason=insufficient_collateral
FT-SME-2025-00006,Analyse Financial Statements,2025-05-07 11:14:21,Credit Underwriter (SME),loan_amount=372522;outcome=declined;decline_reason=insufficient_collateral
FT-SME-2025-00006,Make Credit Decision,2025-05-09 10:14:21,Credit Underwriter (SME),loan_amount=372522;outcome=declined;decline_reason=insufficient_collateral
FT-SME-2025-00007,Submit Loan Application,2025-05-03 10:26:52,SME Borrower,loan_amount=644483;industry=manufacturing;outcome=funded
FT-SME-2025-00007,Analyse Financial Statements,2025-05-05 18:26:52,Credit Underwriter (SME),loan_amount=644483;industry=manufacturing;outcome=funded
FT-SME-2025-00007,Make Credit Decision,2025-05-07 05:26:52,Credit Underwriter (SME),loan_amount=644483;industry=manufacturing;outcome=funded
FT-SME-2025-00008,Submit Loan Application,2025-05-04 10:39:00,SME Borrower,loan_amount=661460;industry=professional_services;outcome=funded
FT-SME-2025-00008,Analyse Financial Statements,2025-05-07 07:39:00,Credit Underwriter (SME),loan_amount=661460;industry=professional_services;outcome=funded
FT-SME-2025-00008,Make Credit Decision,2025-05-08 11:39:00,Credit Underwriter (SME),loan_amount=661460;industry=professional_services;outcome=funded
FT-SME-2025-00009,Submit Loan Application,2025-05-03 08:29:20,SME Borrower,loan_amount=587947;industry=construction;outcome=funded
FT-SME-2025-00009,Analyse Financial Statements,2025-05-06 07:29:20,Credit Underwriter (SME),loan_amount=587947;industry=construction;outcome=funded
FT-SME-2025-00009,Make Credit Decision,2025-05-07 01:29:20,Credit Underwriter (SME),loan_amount=587947;industry=construction;outcome=funded
FT-SME-2025-00010,Submit Loan Application,2025-05-04 10:23:33,SME Borrower,loan_amount=755075;outcome=funded
FT-SME-2025-00010,Analyse Financial Statements,2025-05-08 00:23:33,Credit Underwriter (SME),loan_amount=755075;outcome=funded
FT-SME-2025-00010,Make Credit Decision,2025-05-09 08:23:33,Credit Underwriter (SME),loan_amount=755075;outcome=funded
FT-SME-2025-00011,Submit Loan Application,2025-05-03 10:07:55,SME Borrower,loan_amount=581362;industry=professional_services;outcome=funded
FT-SME-2025-00011,Analyse Financial Statements,2025-05-06 08:07:55,Credit Underwriter (SME),loan_amount=581362;industry=professional_services;outcome=funded
FT-SME-2025-00011,Make Credit Decision,2025-05-07 11:07:55,Credit Underwriter (SME),loan_amount=581362;industry=professional_services;outcome=funded
FT-SME-2025-00012,Submit Loan Application,2025-05-04 20:29:15,SME Borrower,loan_amount=354375;industry=retail;outcome=funded
FT-SME-2025-00012,Analyse Financial Statements,2025-05-07 06:29:15,Credit Underwriter (SME),loan_amount=354375;industry=retail;outcome=funded
FT-SME-2025-00012,Make Credit Decision,2025-05-07 23:29:15,Credit Underwriter (SME),loan_amount=354375;industry=retail;outcome=funded
FT-SME-2025-00013,Submit Loan Application,2025-05-04 15:18:32,SME Borrower,loan_amount=88413;industry=retail;outcome=funded
FT-SME-2025-00013,Analyse Financial Statements,2025-05-08 12:18:32,Credit Underwriter (SME),loan_amount=88413;industry=retail;outcome=funded
FT-SME-2025-00013,Make Credit Decision,2025-05-08 22:18:32,Credit Underwriter (SME),loan_amount=88413;industry=retail;outcome=funded
FT-SME-2025-00014,Submit Loan Application,2025-05-06 11:12:01,SME Borrower,loan_amount=376606;outcome=declined;decline_reason=insufficient_collateral
FT-SME-2025-00014,Analyse Financial Statements,2025-05-09 11:12:01,Credit Underwriter (SME),loan_amount=376606;outcome=declined;decline_reason=insufficient_collateral
FT-SME-2025-00014,Make Credit Decision,2025-05-11 02:12:01,Credit Underwriter (SME),loan_amount=376606;outcome=declined;decline_reason=insufficient_collateral
FT-SME-2025-00015,Submit Loan Application,2025-05-05 23:01:49,SME Borrower,loan_amount=58712;industry=manufacturing;outcome=funded
FT-SME-2025-00015,Analyse Financial Statements,2025-05-07 15:01:49,Credit Underwriter (SME),loan_amount=58712;industry=manufacturing;outcome=funded
FT-SME-2025-00015,Make Credit Decision,2025-05-08 15:01:49,Credit Underwriter (SME),loan_amount=58712;industry=manufacturing;outcome=funded
FT-SME-2025-00016,Submit Loan Application,2025-05-04 16:14:44,SME Borrower,loan_amount=1462585;outcome=funded;uw_path=manual
FT-SME-2025-00016,Analyse Financial Statements,2025-05-07 05:14:44,Credit Underwriter (SME),loan_amount=1462585;outcome=funded;uw_path=manual
FT-SME-2025-00016,Make Credit Decision,2025-05-12 01:14:44,Credit Underwriter (SME),loan_amount=1462585;outcome=funded;uw_path=manual
FT-SME-2025-00016,Analyse Financial Statements,2025-05-12 05:14:44,Senior Underwriter,escalation=senior_review
FT-SME-2025-00017,Submit Loan Application,2025-05-05 12:53:51,SME Borrower,loan_amount=146247;industry=healthcare;outcome=funded
FT-SME-2025-00017,Analyse Financial Statements,2025-05-08 00:53:51,Credit Underwriter (SME),loan_amount=146247;industry=healthcare;outcome=funded
FT-SME-2025-00017,Make Credit Decision,2025-05-08 18:53:51,Credit Underwriter (SME),loan_amount=146247;industry=healthcare;outcome=funded
FT-SME-2025-00018,Submit Loan Application,2025-05-05 23:35:53,SME Borrower,loan_amount=472869;industry=professional_services;outcome=funded
FT-SME-2025-00018,Analyse Financial Statements,2025-05-08 11:35:53,Credit Underwriter (SME),loan_amount=472869;industry=professional_services;outcome=funded
FT-SME-2025-00018,Make Credit Decision,2025-05-09 21:35:53,Credit Underwriter (SME),loan_amount=472869;industry=professional_services;outcome=funded
FT-SME-2025-00019,Submit Loan Application,2025-05-05 04:38:14,SME Borrower,loan_amount=111598;outcome=declined;decline_reason=industry_risk
FT-SME-2025-00019,Analyse Financial Statements,2025-05-06 21:38:14,Credit Underwriter (SME),loan_amount=111598;outcome=declined;decline_reason=industry_risk
FT-SME-2025-00019,Make Credit Decision,2025-05-08 01:38:14,Credit Underwriter (SME),loan_amount=111598;outcome=declined;decline_reason=industry_risk
FT-SME-2025-00020,Submit Loan Application,2025-05-06 17:43:11,SME Borrower,loan_amount=292969;industry=construction;outcome=funded
FT-SME-2025-00020,Analyse Financial Statements,2025-05-08 17:43:11,Credit Underwriter (SME),loan_amount=292969;industry=construction;outcome=funded
FT-SME-2025-00020,Make Credit Decision,2025-05-10 14:43:11,Credit Underwriter (SME),loan_amount=292969;industry=construction;outcome=funded
FT-SME-2025-00021,Submit Loan Application,2025-05-07 16:56:38,SME Borrower,loan_amount=96476;outcome=funded
FT-SME-2025-00021,Analyse Financial Statements,2025-05-13 17:56:38,Credit Underwriter (SME),loan_amount=96476;outcome=funded
FT-SME-2025-00021,Make Credit Decision,2025-05-14 09:56:38,Credit Underwriter (SME),loan_amount=96476;outcome=funded
FT-SME-2025-00022,Submit Loan Application,2025-05-08 22:17:28,SME Borrower,loan_amount=469627;outcome=withdrawn;withdrawal_reason=no_response
FT-SME-2025-00023,Submit Loan Application,2025-05-07 03:03:51,SME Borrower,loan_amount=529357;outcome=funded
FT-SME-2025-00023,Analyse Financial Statements,2025-05-13 00:03:51,Credit Underwriter (SME),loan_amount=529357;outcome=funded
FT-SME-2025-00023,Make Credit Decision,2025-05-13 06:03:51,Credit Underwriter (SME),loan_amount=529357;outcome=funded
FT-SME-2025-00024,Submit Loan Application,2025-05-07 22:01:35,SME Borrower,loan_amount=312059;outcome=funded
FT-SME-2025-00024,Analyse Financial Statements,2025-05-16 01:01:35,Credit Underwriter (SME),loan_amount=312059;outcome=funded
FT-SME-2025-00024,Make Credit Decision,2025-05-16 20:01:35,Credit Underwriter (SME),loan_amount=312059;outcome=funded
FT-SME-2025-00025,Submit Loan Application,2025-05-07 08:08:40,SME Borrower,loan_amount=744625;industry=construction;outcome=funded
FT-SME-2025-00025,Analyse Financial Statements,2025-05-11 09:08:40,Credit Underwriter (SME),loan_amount=744625;industry=construction;outcome=funded
FT-SME-2025-00025,Make Credit Decision,2025-05-12 17:08:40,Credit Underwriter (SME),loan_amount=744625;industry=construction;outcome=funded
FT-SME-2025-00026,Submit Loan Application,2025-05-07 08:31:15,SME Borrower,loan_amount=266378;industry=professional_services;outcome=funded
FT-SME-2025-00026,Analyse Financial Statements,2025-05-11 00:31:15,Credit Underwriter (SME),loan_amount=266378;industry=professional_services;outcome=funded
FT-SME-2025-00026,Make Credit Decision,2025-05-12 03:31:15,Credit Underwriter (SME),loan_amount=266378;industry=professional_services;outcome=funded
FT-SME-2025-00027,Submit Loan Application,2025-05-08 23:04:17,SME Borrower,loan_amount=306754;industry=construction;outcome=funded
FT-SME-2025-00027,Analyse Financial Statements,2025-05-10 23:04:17,Credit Underwriter (SME),loan_amount=306754;industry=construction;outcome=funded
FT-SME-2025-00027,Make Credit Decision,2025-05-11 23:04:17,Credit Underwriter (SME),loan_amount=306754;industry=construction;outcome=funded
FT-SME-2025-00028,Submit Loan Application,2025-05-08 20:50:57,SME Borrower,loan_amount=790989;outcome=funded;uw_path=manual
FT-SME-2025-00028,Analyse Financial Statements,2025-05-11 11:50:57,Credit Underwriter (SME),loan_amount=790989;outcome=funded;uw_path=manual
FT-SME-2025-00028,Analyse Financial Statements,2025-05-15 11:50:57,Senior Underwriter,escalation=senior_review
FT-SME-2025-00028,Make Credit Decision,2025-05-19 19:50:57,Credit Underwriter (SME),loan_amount=790989;outcome=funded;uw_path=manual
FT-SME-2025-00029,Submit Loan Application,2025-05-10 10:48:32,SME Borrower,loan_amount=69509;industry=manufacturing;outcome=funded
FT-SME-2025-00029,Analyse Financial Statements,2025-05-14 04:48:32,Credit Underwriter (SME),loan_amount=69509;industry=manufacturing;outcome=funded
FT-SME-2025-00029,Make Credit Decision,2025-05-15 16:48:32,Credit Underwriter (SME),loan_amount=69509;industry=manufacturing;outcome=funded
FT-SME-2025-00030,Submit Loan Application,2025-05-09 01:34:19,SME Borrower,loan_amount=731737;industry=healthcare;outcome=funded
FT-SME-2025-00030,Analyse Financial Statements,2025-05-11 09:34:19,Credit Underwriter (SME),loan_amount=731737;industry=healthcare;outcome=funded
FT-SME-2025-00030,Make Credit Decision,2025-05-12 11:34:19,Credit Underwriter (SME),loan_amount=731737;industry=healthcare;outcome=funded
FT-SME-2025-00031,Submit Loan Application,2025-05-09 03:32:26,SME Borrower,loan_amount=115018;outcome=funded
FT-SME-2025-00031,Analyse Financial Statements,2025-05-15 04:32:26,Credit Underwriter (SME),loan_amount=115018;outcome=funded
FT-SME-2025-00031,Make Credit Decision,2025-05-16 04:32:26,Credit Underwriter (SME),loan_amount=115018;outcome=funded
FT-SME-2025-00032,Submit Loan Application,2025-05-11 04:05:31,SME Borrower,loan_amount=70305;industry=healthcare;outcome=funded
FT-SME-2025-00032,Analyse Financial Statements,2025-05-14 12:05:31,Credit Underwriter (SME),loan_amount=70305;industry=healthcare;outcome=funded
FT-SME-2025-00032,Make Credit Decision,2025-05-14 18:05:31,Credit Underwriter (SME),loan_amount=70305;industry=healthcare;outcome=funded
FT-SME-2025-00033,Submit Loan Application,2025-05-10 06:24:40,SME Borrower,loan_amount=255217;outcome=withdrawn;withdrawal_reason=no_response
FT-SME-2025-00033,Analyse Financial Statements,2025-05-13 08:24:40,Credit Underwriter (SME),loan_amount=255217;outcome=withdrawn;withdrawal_reason=no_response
FT-SME-2025-00034,Submit Loan Application,2025-05-09 22:20:24,SME Borrower,loan_amount=556455;outcome=funded;uw_path=manual
FT-SME-2025-00034,Analyse Financial Statements,2025-05-12 15:20:24,Credit Underwriter (SME),loan_amount=556455;outcome=funded;uw_path=manual
FT-SME-2025-00034,Analyse Financial Statements,2025-05-16 15:20:24,Senior Underwriter,escalation=senior_review
FT-SME-2025-00034,Make Credit Decision,2025-05-20 08:20:24,Credit Underwriter (SME),loan_amount=556455;outcome=funded;uw_path=manual
FT-SME-2025-00035,Submit Loan Application,2025-05-12 13:14:36,SME Borrower,loan_amount=460666;industry=construction;outcome=funded
FT-SME-2025-00035,Analyse Financial Statements,2025-05-15 06:14:36,Credit Underwriter (SME),loan_amount=460666;industry=construction;outcome=funded
FT-SME-2025-00035,Make Credit Decision,2025-05-16 18:14:36,Credit Underwriter (SME),loan_amount=460666;industry=construction;outcome=funded
FT-SME-2025-00036,Submit Loan Application,2025-05-11 12:14:31,SME Borrower,loan_amount=590854;industry=professional_services;outcome=funded
FT-SME-2025-00036,Analyse Financial Statements,2025-05-14 16:14:31,Credit Underwriter (SME),loan_amount=590854;industry=professional_services;outcome=funded
FT-SME-2025-00036,Make Credit Decision,2025-05-16 13:14:31,Credit Underwriter (SME),loan_amount=590854;industry=professional_services;outcome=funded
FT-SME-2025-00037,Submit Loan Application,2025-05-13 07:40:32,SME Borrower,loan_amount=1147794;outcome=funded;uw_path=manual
FT-SME-2025-00037,Analyse Financial Statements,2025-05-16 21:40:32,Credit Underwriter (SME),loan_amount=1147794;outcome=funded;uw_path=manual
FT-SME-2025-00037,Analyse Financial Statements,2025-05-21 21:40:32,Senior Underwriter,escalation=senior_review
FT-SME-2025-00037,Make Credit Decision,2025-05-22 15:40:32,Credit Underwriter (SME),loan_amount=1147794;outcome=funded;uw_path=manual
FT-SME-2025-00038,Submit Loan Application,2025-05-11 18:51:43,SME Borrower,loan_amount=652445;outcome=funded;uw_path=manual
FT-SME-2025-00038,Analyse Financial Statements,2025-05-14 21:51:43,Credit Underwriter (SME),loan_amount=652445;outcome=funded;uw_path=manual
FT-SME-2025-00038,Make Credit Decision,2025-05-19 16:51:43,Credit Underwriter (SME),loan_amount=652445;outcome=funded;uw_path=manual
FT-SME-2025-00038,Analyse Financial Statements,2025-05-19 21:51:43,Senior Underwriter,escalation=senior_review
FT-SME-2025-00039,Submit Loan Application,2025-05-12 19:15:54,SME Borrower,loan_amount=480677;outcome=withdrawn;withdrawal_reason=rate_too_high
FT-SME-2025-00039,Analyse Financial Statements,2025-05-15 14:15:54,Credit Underwriter (SME),loan_amount=480677;outcome=withdrawn;withdrawal_reason=rate_too_high
FT-SME-2025-00040,Submit Loan Application,2025-05-13 19:50:03,SME Borrower,loan_amount=271114;outcome=declined;decline_reason=industry_risk
FT-SME-2025-00040,Analyse Financial Statements,2025-05-16 07:50:03,Credit Underwriter (SME),loan_amount=271114;outcome=declined;decline_reason=industry_risk
FT-SME-2025-00040,Make Credit Decision,2025-05-17 07:50:03,Credit Underwriter (SME),loan_amount=271114;outcome=declined;decline_reason=industry_risk
FT-SME-2025-00041,Submit Loan Application,2025-05-14 11:53:37,SME Borrower,loan_amount=618008;industry=retail;outcome=funded
FT-SME-2025-00041,Analyse Financial Statements,2025-05-17 10:53:37,Credit Underwriter (SME),loan_amount=618008;industry=retail;outcome=funded
FT-SME-2025-00041,Make Credit Decision,2025-05-18 19:53:37,Credit Underwriter (SME),loan_amount=618008;industry=retail;outcome=funded
FT-SME-2025-00042,Submit Loan Application,2025-05-13 17:54:18,SME Borrower,loan_amount=267725;outcome=funded
FT-SME-2025-00042,Analyse Financial Statements,2025-05-20 08:54:18,Credit Underwriter (SME),loan_amount=267725;outcome=funded
FT-SME-2025-00042,Make Credit Decision,2025-05-20 23:54:18,Credit Underwriter (SME),loan_amount=267725;outcome=funded
FT-SME-2025-00043,Submit Loan Application,2025-05-12 16:52:12,SME Borrower,loan_amount=561880;industry=healthcare;outcome=funded
FT-SME-2025-00043,Analyse Financial Statements,2025-05-16 00:52:12,Credit Underwriter (SME),loan_amount=561880;industry=healthcare;outcome=funded
FT-SME-2025-00043,Make Credit Decision,2025-05-16 13:52:12,Credit Underwriter (SME),loan_amount=561880;industry=healthcare;outcome=funded
FT-SME-2025-00044,Submit Loan Application,2025-05-13 11:15:09,SME Borrower,loan_amount=334098;industry=healthcare;outcome=funded
FT-SME-2025-00044,Analyse Financial Statements,2025-05-16 16:15:09,Credit Underwriter (SME),loan_amount=334098;industry=healthcare;outcome=funded
FT-SME-2025-00044,Make Credit Decision,2025-05-17 23:15:09,Credit Underwriter (SME),loan_amount=334098;industry=healthcare;outcome=funded
FT-SME-2025-00045,Submit Loan Application,2025-05-14 00:52:52,SME Borrower,loan_amount=176700;outcome=declined;decline_reason=debt_service_coverage
FT-SME-2025-00045,Analyse Financial Statements,2025-05-17 06:52:52,Credit Underwriter (SME),loan_amount=176700;outcome=declined;decline_reason=debt_service_coverage
FT-SME-2025-00045,Make Credit Decision,2025-05-18 09:52:52,Credit Underwriter (SME),loan_amount=176700;outcome=declined;decline_reason=debt_service_coverage
FT-SME-2025-00046,Submit Loan Application,2025-05-14 17:06:57,SME Borrower,loan_amount=642102;outcome=funded
FT-SME-2025-00046,Analyse Financial Statements,2025-05-19 23:06:57,Credit Underwriter (SME),loan_amount=642102;outcome=funded
FT-SME-2025-00046,Make Credit Decision,2025-05-21 00:06:57,Credit Underwriter (SME),loan_amount=642102;outcome=funded
FT-SME-2025-00047,Submit Loan Application,2025-05-16 02:34:26,SME Borrower,loan_amount=548119;industry=professional_services;outcome=funded
FT-SME-2025-00047,Analyse Financial Statements,2025-05-18 16:34:26,Credit Underwriter (SME),loan_amount=548119;industry=professional_services;outcome=funded
FT-SME-2025-00047,Make Credit Decision,2025-05-19 08:34:26,Credit Underwriter (SME),loan_amount=548119;industry=professional_services;outcome=funded
FT-SME-2025-00048,Submit Loan Application,2025-05-14 05:31:54,SME Borrower,loan_amount=653947;industry=retail;outcome=funded
FT-SME-2025-00048,Analyse Financial Statements,2025-05-16 13:31:54,Credit Underwriter (SME),loan_amount=653947;industry=retail;outcome=funded
FT-SME-2025-00048,Make Credit Decision,2025-05-17 19:31:54,Credit Underwriter (SME),loan_amount=653947;industry=retail;outcome=funded
FT-SME-2025-00049,Submit Loan Application,2025-05-16 16:40:15,SME Borrower,loan_amount=585776;outcome=funded
FT-SME-2025-00049,Analyse Financial Statements,2025-05-22 10:40:15,Credit Underwriter (SME),loan_amount=585776;outcome=funded
FT-SME-2025-00049,Make Credit Decision,2025-05-23 09:40:15,Credit Underwriter (SME),loan_amount=585776;outcome=funded
FT-SME-2025-00050,Submit Loan Application,2025-05-15 20:45:09,SME Borrower,loan_amount=125475;outcome=declined;decline_reason=debt_service_coverage
FT-SME-2025-00050,Analyse Financial Statements,2025-05-17 11:45:09,Credit Underwriter (SME),loan_amount=125475;outcome=declined;decline_reason=debt_service_coverage
FT-SME-2025-00050,Make Credit Decision,2025-05-18 12:45:09,Credit Underwriter (SME),loan_amount=125475;outcome=declined;decline_reason=debt_service_coverage
FT-SME-2025-00051,Submit Loan Application,2025-05-15 05:23:42,SME Borrower,loan_amount=515528;industry=retail;outcome=funded
FT-SME-2025-00051,Analyse Financial Statements,2025-05-17 12:23:42,Credit Underwriter (SME),loan_amount=515528;industry=retail;outcome=funded
FT-SME-2025-00051,Make Credit Decision,2025-05-19 00:23:42,Credit Underwriter (SME),loan_amount=515528;industry=retail;outcome=funded
FT-SME-2025-00052,Submit Loan Application,2025-05-15 09:26:49,SME Borrower,loan_amount=111405;industry=professional_services;outcome=funded
