application_id,decision_timestamp,decision_outcome,decision_reason,decision_score,decided_by
APP-2024-0001,2024-01-17 02:00:00,approved,criteria_met,588,underwriter
APP-2024-0002,2024-01-16 19:00:00,approved,criteria_met,605,underwriter
APP-2024-0003,2024-01-16 07:00:00,approved,criteria_met,798,underwriter
APP-2024-0004,2024-01-17 02:00:00,approved,criteria_met,617,underwriter
APP-2024-0005,2024-01-16 15:00:00,approved,criteria_met,718,underwriter
APP-2024-0006,2024-01-18 14:00:00,approved,criteria_met,672,underwriter
APP-2024-0007,2024-01-18 07:00:00,approved,criteria_met,781,underwriter
APP-2024-0008,2024-01-18 01:00:00,approved,criteria_met,722,underwriter
APP-2024-0009,2024-01-19 10:00:00,declined,credit_score_low,798,underwriter
APP-2024-0010,2024-01-21 14:00:00,approved,criteria_met,737,underwriter
APP-2024-0011,2024-01-19 17:00:00,approved,criteria_met,667,underwriter
APP-2024-0012,2024-01-20 08:00:00,approved,criteria_met,621,underwriter
APP-2024-0013,2024-01-19 22:00:00,approved,criteria_met,757,underwriter
APP-2024-0014,2024-01-21 02:00:00,approved,criteria_met,829,underwriter
APP-2024-0015,2024-01-20 03:00:00,approved,criteria_met,831,underwriter
APP-2024-0016,2024-01-24 00:00:00,approved,criteria_met,781,underwriter
APP-2024-0017,2024-01-21 14:00:00,approved,criteria_met,791,underwriter
APP-2024-0018,2024-01-21 04:00:00,approved,criteria_met,743,underwriter
APP-2024-0019,2024-01-21 06:00:00,approved,criteria_met,606,underwriter
APP-2024-0020,2024-01-23 14:00:00,approved,criteria_met,605,underwriter
APP-2024-0021,2024-01-20 21:00:00,approved,criteria_met,586,underwriter
APP-2024-0022,2024-01-20 04:00:00,approved,criteria_met,824,underwriter
APP-2024-0023,2024-01-24 08:00:00,approved,criteria_met,764,underwriter
APP-2024-0024,2024-01-20 00:00:00,approved,criteria_met,695,underwriter
APP-2024-0025,2024-01-24 03:00:00,approved,criteria_met,714,underwriter
APP-2024-0026,2024-01-25 06:00:00,approved,criteria_met,637,underwriter
APP-2024-0027,2024-01-22 18:00:00,declined,credit_score_low,812,underwriter
APP-2024-0028,2024-01-20 09:00:00,approved,criteria_met,644,underwriter
APP-2024-0029,2024-01-25 17:00:00,approved,criteria_met,675,underwriter
APP-2024-0030,2024-01-23 15:00:00,approved,criteria_met,849,underwriter
APP-2024-0031,2024-01-22 19:00:00,approved,criteria_met,813,underwriter
APP-2024-0032,2024-01-23 07:00:00,approved,criteria_met,770,underwriter
APP-2024-0033,2024-01-21 00:00:00,approved,criteria_met,553,underwriter
APP-2024-0034,2024-01-18 16:00:00,approved,criteria_met,708,underwriter
APP-2024-0035,2024-01-25 15:00:00,approved,criteria_met,826,underwriter
APP-2024-0036,2024-01-21 05:00:00,approved,criteria_met,620,underwriter
APP-2024-0037,2024-01-24 05:00:00,approved,criteria_met,582,underwriter
APP-2024-0038,2024-01-25 13:00:00,approved,criteria_met,566,underwriter
APP-2024-0039,2024-01-29 08:00:00,approved,criteria_met,678,underwriter
APP-2024-0040,2024-01-24 13:00:00,approved,criteria_met,634,underwriter
APP-2024-0041,2024-01-25 16:00:00,approved,criteria_met,801,underwriter
APP-2024-0042,2024-01-24 14:00:00,approved,criteria_met,807,underwriter
APP-2024-0043,2024-01-21 02:00:00,approved,criteria_met,731,underwriter
APP-2024-0044,2024-01-27 19:00:00,approved,criteria_met,566,underwriter
APP-2024-0045,2024-01-22 04:00:00,approved,criteria_met,831,underwriter
APP-2024-0046,2024-01-24 18:00:00,approved,criteria_met,651,underwriter
APP-2024-0047,2024-01-20 04:00:00,approved,criteria_met,733,underwriter
APP-2024-0048,2024-01-28 22:00:00,approved,criteria_met,649,underwriter
APP-2024-0049,2024-01-21 05:00:00,declined,credit_score_low,789,underwriter
APP-2024-0050,2024-02-01 02:00:00,approved,criteria_met,770,underwriter
APP-2024-0051,2024-01-31 10:00:00,approved,criteria_met,805,underwriter
APP-2024-0052,2024-01-28 02:00:00,approved,criteria_met,645,underwriter
APP-2024-0053,2024-01-22 17:00:00,approved,criteria_met,604,underwriter
APP-2024-0054,2024-01-31 06:00:00,approved,criteria_met,580,underwriter
APP-2024-0055,2024-02-02 03:00:00,approved,criteria_met,698,underwriter
APP-2024-0056,2024-02-01 23:00:00,approved,criteria_met,614,underwriter
APP-2024-0057,2024-01-28 06:00:00,approved,criteria_met,783,underwriter
APP-2024-0058,2024-02-01 09:00:00,approved,criteria_met,716,underwriter
APP-2024-0059,2024-01-25 12:00:00,approved,criteria_met,731,underwriter
APP-2024-0060,2024-01-31 17:00:00,approved,criteria_met,829,underwriter
APP-2024-0061,2024-01-30 00:00:00,approved,criteria_met,740,underwriter
APP-2024-0062,2024-02-03 17:00:00,declined,incomplete_documents,636,underwriter
APP-2024-0063,2024-01-22 20:00:00,approved,criteria_met,597,underwriter
APP-2024-0064,2024-02-02 21:00:00,approved,criteria_met,566,underwriter
APP-2024-0065,2024-01-30 19:00:00,approved,criteria_met,556,underwriter
APP-2024-0066,2024-02-07 13:00:00,approved,criteria_met,782,underwriter
APP-2024-0067,2024-02-01 16:00:00,approved,criteria_met,569,underwriter
APP-2024-0068,2024-02-01 13:00:00,approved,criteria_met,563,underwriter
APP-2024-0069,2024-02-03 19:00:00,approved,criteria_met,573,underwriter
APP-2024-0070,2024-02-03 04:00:00,declined,affordability_failed,697,underwriter
APP-2024-0071,2024-01-28 18:00:00,approved,criteria_met,685,underwriter
APP-2024-0072,2024-02-05 00:00:00,approved,criteria_met,579,underwriter
APP-2024-0073,2024-02-04 14:00:00,approved,criteria_met,772,underwriter
APP-2024-0074,2024-02-03 04:00:00,approved,criteria_met,839,underwriter
APP-2024-0075,2024-01-22 20:00:00,approved,criteria_met,694,underwriter
APP-2024-0076,2024-01-29 20:00:00,approved,criteria_met,692,underwriter
APP-2024-0077,2024-02-04 04:00:00,approved,criteria_met,663,underwriter
APP-2024-0078,2024-02-08 17:00:00,approved,criteria_met,575,underwriter
APP-2024-0079,2024-02-12 01:00:00,declined,incomplete_documents,723,underwriter
APP-2024-0080,2024-02-12 08:00:00,declined,affordability_failed,598,underwriter
APP-2024-0081,2024-02-12 00:00:00,declined,affordability_failed,560,underwriter
APP-2024-0082,2024-02-12 17:00:00,approved,criteria_met,607,underwriter
APP-2024-0083,2024-02-13 04:00:00,approved,criteria_met,769,underwriter
APP-2024-0084,2024-02-14 15:00:00,approved,criteria_met,765,underwriter
APP-2024-0085,2024-02-02 15:00:00,approved,criteria_met,665,underwriter
APP-2024-0086,2024-01-30 14:00:00,approved,criteria_met,613,underwriter
APP-2024-0087,2024-02-07 20:00:00,approved,criteria_met,671,underwriter
APP-2024-0088,2024-02-07 08:00:00,approved,criteria_met,777,underwriter
APP-2024-0089,2024-02-16 00:00:00,approved,criteria_met,585,underwriter
APP-2024-0090,2024-01-30 14:00:00,approved,criteria_met,599,underwriter
APP-2024-0091,2024-02-05 05:00:00,approved,criteria_met,683,underwriter
APP-2024-0092,2024-02-16 21:00:00,approved,criteria_met,834,underwriter
APP-2024-0093,2024-02-02 09:00:00,approved,criteria_met,671,underwriter
APP-2024-0094,2024-02-06 17:00:00,approved,criteria_met,570,underwriter
APP-2024-0095,2024-01-25 13:00:00,approved,criteria_met,580,underwriter
APP-2024-0096,2024-02-02 12:00:00,approved,criteria_met,841,underwriter
APP-2024-0097,2024-01-30 05:00:00,approved,criteria_met,725,underwriter
APP-2024-0098,2024-02-11 04:00:00,approved,criteria_met,850,underwriter
APP-2024-0099,2024-02-06 02:00:00,approved,criteria_met,689,underwriter
APP-2024-0100,2024-01-24 10:00:00,approved,criteria_met,676,underwriter
