application_id,verification_id,verification_timestamp,method,outcome,performed_by
APP-2024-0001,IDV-0001-1,2024-01-15 08:30:00,drivers_license,verified,system
APP-2024-0002,IDV-0002-1,2024-01-15 16:09:00,drivers_license,verified,system
APP-2024-0003,IDV-0003-1,2024-01-15 20:25:00,passport,verified,system
APP-2024-0004,IDV-0004-1,2024-01-15 17:26:00,drivers_license,retry_required,system
APP-2024-0004,IDV-0004-2,2024-01-16 16:26:00,passport,verified,compliance_officer
APP-2024-0005,IDV-0005-1,2024-01-16 04:02:00,drivers_license,verified,system
APP-2024-0006,IDV-0006-1,2024-01-15 23:20:00,passport,verified,system
APP-2024-0007,IDV-0007-1,2024-01-16 02:21:00,drivers_license,verified,system
APP-2024-0008,IDV-0008-1,2024-01-17 16:26:00,passport,verified,system
APP-2024-0009,IDV-0009-1,2024-01-17 08:12:00,passport,retry_required,system
APP-2024-0009,IDV-0009-2,2024-01-17 17:12:00,drivers_license,verified,compliance_officer
APP-2024-0010,IDV-0010-1,2024-01-17 14:18:00,passport,retry_required,system
APP-2024-0010,IDV-0010-2,2024-01-17 18:18:00,drivers_license,verified,compliance_officer
APP-2024-0011,IDV-0011-1,2024-01-17 10:28:00,national_id,verified,system
APP-2024-0012,IDV-0012-1,2024-01-18 13:29:00,drivers_license,verified,system
APP-2024-0013,IDV-0013-1,2024-01-18 08:12:00,passport,verified,system
APP-2024-0014,IDV-0014-1,2024-01-19 16:20:00,national_id,verified,system
APP-2024-0015,IDV-0015-1,2024-01-17 16:21:00,national_id,verified,system
APP-2024-0016,IDV-0016-1,2024-01-20 08:27:00,drivers_license,retry_required,system
APP-2024-0016,IDV-0016-2,2024-01-21 01:27:00,national_id,verified,compliance_officer
APP-2024-0017,IDV-0017-1,2024-01-19 08:08:00,national_id,verified,system
APP-2024-0018,IDV-0018-1,2024-01-18 04:29:00,passport,verified,system
APP-2024-0019,IDV-0019-1,2024-01-19 02:19:00,national_id,verified,system
APP-2024-0020,IDV-0020-1,2024-01-21 16:14:00,national_id,verified,system
